id	name	textpath	key	link	hassubcats	hasproducts	parentkey
	Sandpaper	Home:Abrasives:Sandpaper	N-i9o	http://www.grainger.com/Grainger/sandpaper/abrasives/ecatalog/N-i9o?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi1
	Specialty Abrasives	Home:Abrasives:Specialty Abrasives	N-hfz	http://www.grainger.com/Grainger/specialty-abrasives/abrasives/ecatalog/N-hfz?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi1
	Tumblers and Media	Home:Abrasives:Tumblers and Media	N-hyn	http://www.grainger.com/Grainger/tumblers-and-media/abrasives/ecatalog/N-hyn?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi1
	Caulks	"Home:Adhesives, Sealants and Tape:Caulks"	N-84g	http://www.grainger.com/Grainger/caulks/adhesives-sealants-and-tape/ecatalog/N-84g?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi2
	Dispensing Guns	"Home:Adhesives, Sealants and Tape:Dispensing Guns"	N-84l	http://www.grainger.com/Grainger/dispensing-guns/adhesives-sealants-and-tape/ecatalog/N-84l?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi2
	Glues and Cements	"Home:Adhesives, Sealants and Tape:Glues and Cements"	N-84p	http://www.grainger.com/Grainger/glues-and-cements/adhesives-sealants-and-tape/ecatalog/N-84p?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi2
	Putties	"Home:Adhesives, Sealants and Tape:Putties"	N-852	http://www.grainger.com/Grainger/putties/adhesives-sealants-and-tape/ecatalog/N-852?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi2
	Tapes	"Home:Adhesives, Sealants and Tape:Tapes"	N-856	http://www.grainger.com/Grainger/tapes/adhesives-sealants-and-tape/ecatalog/N-856?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi2
	Thread and Gasket Sealants	"Home:Adhesives, Sealants and Tape:Thread and Gasket Sealants"	N-85f	http://www.grainger.com/Grainger/thread-and-gasket-sealants/adhesives-sealants-and-tape/ecatalog/N-85f?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi2
	Chemicals	Home:Cleaning:Chemicals	N-86t	http://www.grainger.com/Grainger/chemicals/cleaning/ecatalog/N-86t?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi4
	Equipment	Home:Cleaning:Equipment	N-875	http://www.grainger.com/Grainger/equipment/cleaning/ecatalog/N-875?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi4
	Floor Care	Home:Cleaning:Floor Care	N-87t	http://www.grainger.com/Grainger/floor-care/cleaning/ecatalog/N-87t?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi4
	Furniture Care	Home:Cleaning:Furniture Care	N-87z	http://www.grainger.com/Grainger/furniture-care/cleaning/ecatalog/N-87z?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi4
	Odor Control & Drain Maintainers	Home:Cleaning:Odor Control & Drain Maintainers	N-88v	http://www.grainger.com/Grainger/odor-control-drain-maintainers/cleaning/ecatalog/N-88v?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi4
	Paper Products	Home:Cleaning:Paper Products	N-892	http://www.grainger.com/Grainger/paper-products/cleaning/ecatalog/N-892?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi4
	Personal Care	Home:Cleaning:Personal Care	N-89c	http://www.grainger.com/Grainger/personal-care/cleaning/ecatalog/N-89c?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi4
	Rags and Wipes	Home:Cleaning:Rags and Wipes	N-89h	http://www.grainger.com/Grainger/rags-and-wipes/cleaning/ecatalog/N-89h?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi4
	Receptacles and Containers	Home:Cleaning:Receptacles and Containers	N-89j	http://www.grainger.com/Grainger/receptacles-and-containers/cleaning/ecatalog/N-89j?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi4
	Replacement Parts	Home:Cleaning:Replacement Parts	N-89q	http://www.grainger.com/Grainger/replacement-parts/cleaning/ecatalog/N-89q?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi4
	Restroom Equipment	Home:Cleaning:Restroom Equipment	N-89s	http://www.grainger.com/Grainger/restroom-equipment/cleaning/ecatalog/N-89s?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi4
	Supplies	Home:Cleaning:Supplies	N-cq4	http://www.grainger.com/Grainger/supplies/cleaning/ecatalog/N-cq4?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi4
	Trash Bags and Liners	Home:Cleaning:Trash Bags and Liners	N-89z	http://www.grainger.com/Grainger/trash-bags-and-liners/cleaning/ecatalog/N-89z?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi4
	Conduit	Home:Electrical:Conduit	N-8a1	http://www.grainger.com/Grainger/conduit/electrical/ecatalog/N-8a1?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi5
	Conduit Fittings	Home:Electrical:Conduit Fittings	N-8a2	http://www.grainger.com/Grainger/conduit-fittings/electrical/ecatalog/N-8a2?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi5
	Conduit Mounting	Home:Electrical:Conduit Mounting	N-8ae	http://www.grainger.com/Grainger/conduit-mounting/electrical/ecatalog/N-8ae?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi5
	Counters and Hour Meters	Home:Electrical:Counters and Hour Meters	N-cr0	http://www.grainger.com/Grainger/counters-and-hour-meters/electrical/ecatalog/N-cr0?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi5
	Data and Communication	Home:Electrical:Data and Communication	N-8at	http://www.grainger.com/Grainger/data-and-communication/electrical/ecatalog/N-8at?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi5
	Distribution	Home:Electrical:Distribution	N-8bl	http://www.grainger.com/Grainger/distribution/electrical/ecatalog/N-8bl?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi5
	Electrical Boxes	Home:Electrical:Electrical Boxes	N-8c2	http://www.grainger.com/Grainger/electrical-boxes/electrical/ecatalog/N-8c2?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi5
	Enclosures	Home:Electrical:Enclosures	N-8c9	http://www.grainger.com/Grainger/enclosures/electrical/ecatalog/N-8c9?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi5
	Encoders	Home:Electrical:Encoders	N-8ck	http://www.grainger.com/Grainger/encoders/electrical/ecatalog/N-8ck?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi5
	Extension Cords and Outlet Strips	Home:Electrical:Extension Cords and Outlet Strips	N-gqp	http://www.grainger.com/Grainger/extension-cords-and-outlet-strips/electrical/ecatalog/N-gqp?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi5
	Fuses	Home:Electrical:Fuses	N-8cr	http://www.grainger.com/Grainger/fuses/electrical/ecatalog/N-8cr?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi5
	Ground Fault Protection	Home:Electrical:Ground Fault Protection	N-8d2	http://www.grainger.com/Grainger/ground-fault-protection/electrical/ecatalog/N-8d2?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi5
	Plugs and Receptacles	Home:Electrical:Plugs and Receptacles	N-8db	http://www.grainger.com/Grainger/plugs-and-receptacles/electrical/ecatalog/N-8db?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi5
